osmid,x,y
69589374,-84.359834,33.7556044
69589540,-84.3804622,33.7817938
69589641,-84.36899,33.797095
69589734,-84.3659683,33.8078619
69594647,-84.402936,33.763431
69594678,-84.404836,33.768196
69594877,-84.4086699,33.8390461
69594971,-84.4309043,33.8529923
69594988,-84.4313586,33.8552512
69613927,-84.393372,33.744421
69614527,-84.3859517,33.7814747
69614574,-84.3686753,33.7817715
69616381,-84.38888,33.769627
69616397,-84.389168,33.781507
69616413,-84.3891936,33.7919249
69616415,-84.3889993,33.7969564
69618148,-84.3746929,33.8212991
69625430,-84.4461202,33.7510769
69628220,-84.408062,33.703393
69633953,-84.3934791,33.7368728
69634029,-84.433885,33.73931
69634033,-84.434025,33.73976
69634053,-84.4421114,33.7477044
69647664,-84.4073072,33.8240488
69650499,-84.3621092,33.8504861
69657397,-84.392796,33.746938
69677861,-84.4766402,33.8120082
283194350,-84.4072475,33.7915633
315544245,-84.3492607,33.8480655
318456685,-84.3874313,33.7490393
336156027,-84.3687445,33.8206419
336156437,-84.3701765,33.8210705
344924544,-84.433536,33.7388281
344924939,-84.4338024,33.7391913
463545340,-84.3841329,33.7647847
463545360,-84.3847388,33.7644004
463545396,-84.3841459,33.7638951
588870569,-84.3882215,33.7219956
661038350,-84.4247885,33.7182181
661038351,-84.4257099,33.718161
661038352,-84.4251159,33.718538
681262448,-84.3940821,33.7546593
926858112,-84.3986072,33.7639489
1037846094,-84.4938933,33.7529014
1235755387,-84.3653025,33.8525462
1278536804,-84.3892061,33.7917686
1278546096,-84.384115,33.7890284
1278558734,-84.4078515,33.7916892
1278558750,-84.4080137,33.7912249
1280114240,-84.3495,33.704406
1400950462,-84.3485793,33.7603837
1572629607,-84.4253158,33.7177645
1573471363,-84.3781541,33.7862779
1581270385,-84.3766698,33.7498513
1581270420,-84.376376,33.7502238
1600192464,-84.3913506,33.699103
1600192490,-84.391469,33.699717
1600746477,-84.4444547,33.750908
1600746493,-84.4450054,33.7503712
1600746500,-84.446081,33.7509982
1600746504,-84.4441477,33.7507451
1600746517,-84.4450462,33.7507644
1600746533,-84.4460795,33.7518345
1861951606,-84.390915,33.7469337
1929996308,-84.3688225,33.8208491
1929996336,-84.369346,33.8209149
2253195935,-84.3652081,33.8527436
2253195936,-84.3653725,33.8527705
2253202319,-84.3741166,33.8484704
2253272378,-84.3578931,33.8517799
2253272381,-84.3579876,33.8518196
2253272382,-84.3579473,33.8519471
2253272477,-84.3580232,33.8564157
2253448797,-84.3887025,33.7558879
2323344265,-84.3656331,33.8523157
2390850312,-84.3835074,33.7876229
2401559405,-84.3539116,33.8134539
2430587514,-84.3966746,33.7505954
2430587517,-84.3969181,33.7508232
2507729347,-84.5122378,33.7672456
2507729350,-84.5126405,33.7677028
2507729381,-84.5135403,33.7683206
2508763908,-84.3815272,33.7675451
2509917599,-84.4301126,33.8493402
2511829122,-84.3494029,33.7603113
2511829126,-84.3490154,33.7604277
2511829133,-84.3492828,33.761856
2511829139,-84.3491722,33.7621791
2511829141,-84.3492813,33.7621849
2511912086,-84.360599,33.7554275
2611736892,-84.3878493,33.7372169
2611736897,-84.3883889,33.7370927
2672279830,-84.3939296,33.7328279
2672279831,-84.3936349,33.7328424
2706655645,-84.3619498,33.8506652
2706655647,-84.3623457,33.8508168
2867449809,-84.4271442,33.8456778
2890041374,-84.3560263,33.8240965
2906518943,-84.4768117,33.8129937
2909516843,-84.4698262,33.755785
2909537441,-84.4456863,33.7507063
2909537442,-84.4461106,33.7506579
2911510961,-84.3878099,33.7865803
2911510962,-84.3892436,33.7865854
2911510963,-84.38697,33.7866506
2917601804,-84.5031442,33.7872033
3107884159,-84.4155894,33.8291067
3107884163,-84.4159279,33.8290442
3369205352,-84.3849033,33.7511085
3369514499,-84.3494833,33.7602086
3382299289,-84.3888078,33.7971622
3582046407,-84.3881992,33.7559758
3582046472,-84.3822992,33.7544623
3582046473,-84.3843129,33.7544879
3582046474,-84.3847085,33.7544912
3633073271,-84.4002831,33.7540652
3657346112,-84.4168698,33.8398947
3661064309,-84.4163718,33.8182539
3661064311,-84.4169913,33.8183733
3662509379,-84.4163608,33.7996166
3662509387,-84.4160049,33.799952
3740926105,-84.3981822,33.7444504
3798477115,-84.3659492,33.8079362
4136953692,-84.4178912,33.7730452
4214310936,-84.3926478,33.7216148
4229149051,-84.3844546,33.7896078
4330170531,-84.4304694,33.8511284
4330170560,-84.4306268,33.8519213
4346984765,-84.3926505,33.7371829
4402667583,-84.3926229,33.7367875
4402671249,-84.3929076,33.7368821
4402671253,-84.3934803,33.7367916
4402671305,-84.3946012,33.7367977
4402671341,-84.3929625,33.7368812
4402671407,-84.3929613,33.7367891
4453723417,-84.3632559,33.8206436
4510476479,-84.358608,33.76825
4768032951,-84.3527822,33.8255638
4850945628,-84.3518215,33.8232186
5006641311,-84.387635,33.753117
5173481686,-84.4177601,33.7411409
5173481688,-84.4177913,33.7406685
5173481691,-84.4177139,33.7403813
5173481694,-84.4176277,33.7423462
5198748651,-84.3821632,33.7865032
5230967735,-84.3621876,33.8508508
5230967741,-84.3617439,33.8508846
5230967752,-84.3651661,33.8526161
5253681613,-84.3607667,33.8206633
5292420707,-84.3814826,33.7621945
5292420711,-84.3821049,33.7627026
5292420720,-84.3821093,33.7618667
5408449898,-84.394506,33.742595
5411749582,-84.4075805,33.8244454
5411837870,-84.3876809,33.7480082
5412061134,-84.3698958,33.7494997
5412096079,-84.4327187,33.7390291
5412096083,-84.4323984,33.7393797
5412704553,-84.4290937,33.7018445
5415829180,-84.3884124,33.7469118
5421847211,-84.457308,33.7062031
5422301826,-84.4159171,33.8400165
5422301827,-84.4167034,33.8396728
5423954709,-84.4970619,33.7542418
5424022137,-84.3656345,33.8078211
5424450003,-84.418087,33.700738
5424450007,-84.4180763,33.7008886
5425991500,-84.4297364,33.8491604
5426326848,-84.3924653,33.6990528
5426326851,-84.3925791,33.6995138
5428702921,-84.4147345,33.7308144
5430611954,-84.4179759,33.7141511
5430611959,-84.4181377,33.714008
5430625608,-84.4081542,33.7378407
5430636462,-84.3556608,33.7463614
5430636467,-84.3558665,33.7465627
5430680537,-84.3881442,33.7469073
5430680540,-84.3877108,33.7472898
5430680541,-84.3877274,33.7461377
5430680545,-84.3911314,33.7466454
5430680548,-84.3913454,33.7469341
5430680549,-84.3965186,33.7472285
5430680552,-84.3963866,33.7469574
5430683899,-84.333609,33.7474415
5430683900,-84.3329805,33.7474318
5430716744,-84.3846076,33.7544894
5430716747,-84.3842821,33.7547892
5436991921,-84.3933723,33.7216016
5436991924,-84.3930179,33.721774
5437239135,-84.365828,33.8526213
5437715569,-84.4182809,33.7006739
5439816367,-84.5082824,33.7617593
5439816370,-84.5081285,33.7620515
5441892389,-84.5057261,33.7598704
5441892393,-84.5052635,33.7599949
5442365908,-84.3653355,33.8079561
5442365911,-84.3656715,33.8078917
5442365913,-84.3658759,33.8083835
5442365917,-84.3661874,33.8083193
5442595465,-84.3526402,33.8253129
5444507489,-84.5149075,33.7729653
5444507494,-84.5152659,33.7729425
5466095725,-84.3747996,33.8487432
5617170750,-84.4287967,33.7014939
5617170754,-84.4291932,33.7011799
5649592815,-84.3493736,33.7600386
5649592816,-84.3489179,33.7602512
5674178518,-84.3781525,33.7865903
5853070780,-84.3679212,33.8214136
5940874974,-84.3495046,33.7039987
5940874978,-84.3500608,33.704405
5940874982,-84.3495014,33.7048354
5941482555,-84.4679615,33.7520071
5941482559,-84.4697075,33.7636191
5941482563,-84.4700199,33.7634006
5947379191,-84.4908073,33.6924086
5947379195,-84.490391,33.6927383
5947379199,-84.4904299,33.6924018
5952747042,-84.5054692,33.7589555
5952811158,-84.4691635,33.7557893
5954332603,-84.4703176,33.7636222
6091664246,-84.4859769,33.6962
6091664249,-84.4862257,33.6963236
6350060850,-84.373889,33.8491455
6350207456,-84.3730236,33.8497326
6350207462,-84.3726521,33.8497759
6521799667,-84.3961765,33.7542635
6521799668,-84.3968537,33.7530214
6978295800,-84.5032148,33.7875434
6978295808,-84.5028157,33.7875159
6978295814,-84.5031524,33.7874962
7062844551,-84.3675451,33.8214354
7062844552,-84.3675279,33.8216763
7062844579,-84.3675074,33.8206498
7136588202,-84.3711298,33.6590829
7136588208,-84.3717049,33.6591476
7136588213,-84.3715829,33.6597852
7136775800,-84.4420108,33.7478001
7138426978,-84.4342155,33.7395069
7138426983,-84.4341876,33.7395081
7138426984,-84.4337563,33.7387502
7138433687,-84.4321549,33.7386826
7138612586,-84.4072315,33.8239474
7138612590,-84.4075821,33.8239012
7138638672,-84.3736591,33.8210878
7138737895,-84.3491699,33.8480099
7138737903,-84.3535614,33.8488348
7138737906,-84.3533827,33.8486156
7138737907,-84.3529926,33.8487237
7192645517,-84.3772466,33.7543928
7502147715,-84.3861082,33.7545033
7502147722,-84.3862564,33.7541856
7515540242,-84.370471,33.8443166
7515540252,-84.3716598,33.8442583
7556153591,-84.382069,33.7469229
8194133269,-84.3599268,33.8532871
8194133272,-84.3595197,33.8532555
8313946706,-84.5128665,33.7680621
8313946707,-84.5128397,33.7678608
8481441836,-84.3789347,33.7864804
9302824075,-84.3226478,33.7473664
9308935583,-84.3232652,33.7473704
9345557114,-84.4079125,33.7380203
9411825219,-84.4913688,33.7518328
9411825223,-84.4916984,33.7519763
9535944752,-84.3783613,33.7865056
9535944762,-84.378237,33.7864497
9561221568,-84.3838451,33.7724005
