u,v,length
68188854,68245644,142.47400000000002
68188910,68188933,15.014
68188910,68369691,84.453
68188910,68188915,162.32
68188910,69209935,100.645
68188915,68190690,123.695
68188915,68188937,14.412
68188915,68188918,96.016
68188915,68188910,162.32
68188918,68175468,315.451
68188918,68188920,78.847
68188918,68188915,96.016
68188918,68219859,136.37
68188920,68261365,75.463
68188920,68175474,293.04
68188920,68188918,78.847
68188920,68188924,221.87400000000002
68188924,68294023,89.67
68188924,68245575,47.539
68188924,68166297,254.575
68188924,68188920,221.87400000000002
68188933,68188935,64.304
68188933,68188910,15.014
68188933,68297408,94.756
68188933,315576032,102.50999999999999
68188935,68188937,96.8
68188935,68188933,64.304
68188935,68297410,73.686
68188937,68188935,96.8
68188937,68188915,14.412
68188937,68190687,85.956
68188946,384328105,303.13
68188946,68213877,37.086
68190251,68190255,374.866
68190251,68352693,144.969
68190251,68294677,85.797
68190255,68190251,374.866
68190686,68190687,158.719
68190686,68175462,102.411
68190686,68368967,95.851
68190687,68188937,85.956
68190687,68190686,158.719
68190687,68297414,93.908
68190690,68188915,123.695
68190690,68205591,57.861000000000004
68190690,68369691,157.0
68191127,68191129,56.637
68191127,68361029,294.726
68191127,68294146,115.543
68191127,68207150,138.915
68191129,68191131,93.081
68191129,68191127,56.637
68191131,68191129,93.081
68191131,68199859,137.385
68191152,68391785,243.92900000000003
68191152,68418081,449.766
68191152,68185285,138.254
68191152,68294102,271.219
68191152,68244570,303.707
68191975,315963825,112.13299999999998
68191975,69215607,67.275
68191975,69528754,327.387
68191991,5416143666,42.102
68191991,315963825,120.30600000000001
68191993,5416143666,60.328
68191993,68192000,248.453
68191993,68225133,68.775
68192000,68191993,248.453
68192000,68225154,283.338
68193148,4270432360,137.662
68193148,68196188,136.063
68194501,68194513,180.363
68194501,68249599,106.881
68194501,68219859,101.339
68194513,68194501,180.363
68194521,68194522,76.86
68194522,68194525,93.982
68194522,68194521,76.86
68194522,68249616,103.706
68194522,68212041,327.003
68194525,68194522,93.982
68194525,68194530,103.864
68194525,68208682,341.2900000000001
68194530,68194532,194.40599999999998
68194530,68194525,103.864
68194530,68215811,135.51
68194530,68199968,140.722
68194532,68194535,87.634
68194532,68194530,194.40599999999998
68194532,68199968,201.127
68194535,68194532,87.634
68194535,68196085,93.62200000000001
68194535,6305792940,106.801
68196078,68282969,120.89299999999999
68196078,68196080,104.935
68196078,69499940,113.317
68196080,68282971,122.104
68196080,68196082,100.096
68196080,68196078,104.935
68196082,5430678777,7.196
68196082,68196080,100.096
68196082,68282973,123.00999999999999
68196085,5430678783,33.14
68196085,5430678777,32.587
68196085,68211351,82.04
68196085,68194535,93.622
68196087,68196090,142.451
68196087,6305792940,29.673
68196087,68215811,270.127
68196090,68196092,126.636
68196090,68196087,142.451
68196090,68215819,259.4
68196092,68196094,56.085
68196092,68196090,126.636
68196092,68215831,248.797
68196094,68196096,94.575
68196094,68196092,56.085
68196094,68277959,118.987
68196096,68196097,79.856
68196096,68196094,94.575
68196096,68215841,249.124
68196097,68196099,29.73
68196097,68196096,79.856
68196097,68275406,118.358
68196099,68196097,29.73
68196099,68196100,99.887
68196099,68275401,183.915
68196100,68196101,97.012
68196100,68196099,99.887
68196100,68293949,556.378
68196101,68196102,149.985
68196101,68196100,97.012
68196101,68277961,118.385
68196101,68286902,418.89599999999996
68196102,68196103,119.087
68196102,68196101,149.985
68196102,68392069,373.951
68196103,68196102,119.087
68196103,462867004,171.59099999999998
68196103,68207743,117.684
68196103,68207715,833.4449999999999
68196118,68196123,75.541
68196123,68196118,75.541
68196141,68196149,402.17799999999994
68196141,7772399304,178.751
68196149,68196164,256.019
68196149,5604330225,74.942
68196149,68196141,402.178
68196164,68196178,133.103
68196164,68196149,256.019
68196178,68280241,581.225
68196178,68196188,149.856
68196178,68196164,133.103
68196188,68193148,136.063
68196188,68196178,149.856
68196224,68196227,91.328
68196224,4270432360,432.304
68196227,384327547,150.519
68196227,68196224,91.328
68196240,384327619,54.957
68196240,4270432374,607.3409999999999
68196240,384327547,219.63299999999998
68196245,384327618,36.376
68196245,384327619,107.218
68196259,68163805,60.414
68196259,68358875,132.446
68196259,384327618,212.381
68196327,68196330,105.947
68196330,68196327,105.947
68196330,68278229,50.568
68196330,68249586,85.079
68196477,68196485,397.22
68196485,68196487,65.091
68196485,68196477,397.22
68196485,68213176,787.605
68196487,68196485,65.091
68196487,68196519,78.894
68196487,497400416,608.9050000000001
68196519,68196487,78.894
68196519,68196612,171.764
68196519,68196606,116.953
68196528,68196531,107.406
68196528,68295225,134.153
68196528,68168838,54.406
68196531,68196534,73.507
68196531,68196528,107.406
68196531,68304705,133.612
68196534,68196535,27.817
68196534,68196531,73.507
68196534,68394104,191.263
68196535,68196537,93.858
68196535,68196534,27.817
68196535,68304708,158.773
68196537,68196535,93.858
68196537,68374077,57.698
68196537,68345663,44.925999999999995
68196556,69133293,19.928
68196556,5649592816,21.656
68196556,2511829122,32.149
68196558,1400950462,39.895
68196558,68374063,495.682
68196558,68196565,120.661
68196565,68374066,459.276
68196565,68196558,120.66100000000002
68196565,68196571,130.8
68196571,68168815,204.373
68196571,68196565,130.8
68196571,68196574,213.785
68196574,68168819,192.821
68196574,68196571,213.785
68196574,68196575,140.363
68196575,68196574,140.363
68196575,68168822,184.231
68196575,68387279,148.956
68196575,68196588,442.49899999999997
68196588,68168829,160.815
68196588,68196599,180.286
68196588,68196575,442.499
68196599,68248429,259.526
68196599,68196601,100.083
68196599,68196588,180.286
68196601,68374072,274.289
68196601,68196603,106.922
68196601,68196599,100.083
68196603,68196606,75.635
68196603,68332311,305.37
68196603,68196601,106.922
68196606,68196603,75.635
68196606,68394104,208.668
68196606,68196519,116.953
68196612,68295225,127.37100000000001
68196612,68196619,109.836
68196612,68196519,171.764
68196619,68295227,148.582
68196619,68178034,140.788
68196619,68196612,109.836
68196627,8197464035,68.235
