u,v,length
69208060,5430625608,40.010000000000005
69208060,69244831,433.21000000000004
69209152,5954332603,4515.478999999999
69209152,5444507489,329.80899999999997
69209152,8313946706,253.85299999999998
69209167,69350480,2641.2690000000002
69209167,5444507489,21.343
69215120,69215148,80.642
69215127,69215132,29.102
69215127,69613927,30.713
69215132,69215120,112.351
69215148,69562456,75.395
69215148,4346984765,604.429
69216947,5425991500,4982.299000000001
69221847,69193533,3185.4519999999998
69221847,69124550,40.171
69233166,69193465,27.034
69233166,588870569,41.81
69233166,4214310936,425.90599999999995
69233189,69326139,16.436
69233189,69233203,392.51800000000003
69233189,69131077,1167.3740000000003
69233203,69326139,393.63200000000006
69233203,69233222,947.556
69233222,69233203,947.556
69233222,5430625608,1741.7710000000002
69233222,69255657,434.33000000000004
69239416,69363538,258.087
69239416,69244831,583.944
69239416,2430587514,1543.7470000000003
69239982,5442365917,38.185
69239982,3798477115,13.488
69239982,5442365913,36.729
69244831,69208060,433.21
69244831,69239416,583.9439999999998
69244831,69573269,453.566
69244831,69244864,694.7499999999999
69244864,5428702921,175.385
69244864,69244831,694.75
69245196,2253448797,730.6660000000002
69245196,69349971,415.228
69245196,69465389,303.55699999999996
69245675,69129631,263.957
69245675,5430680552,182.295
69245675,69657397,149.69299999999998
69255167,1600192490,1456.313
69255167,69255302,3600.385
69255167,69193472,1412.829
69255302,69291433,3805.237000000001
69255302,7136588213,2467.016
69255302,69255167,3600.385000000002
69255446,7136588202,637.7130000000001
69255657,69255685,945.6429999999999
69255657,69233222,434.33
69255657,69628220,1654.7640000000004
69255685,661038350,622.2149999999999
69255685,69255657,945.6429999999998
69255685,5430611959,478.29400000000004
69255685,69310540,931.0289999999999
69255843,7062844579,7.301
69255843,69499723,1283.0469999999998
69256277,69262916,435.70799999999997
69256333,69256337,326.759
69256333,69146775,1780.181
69256333,69146707,2464.8659999999995
69256333,69436193,306.747
69256337,69256333,326.7589999999999
69258160,69142135,948.8730000000003
69262915,69436045,539.971
69262915,69262916,119.60100000000001
69262915,69465389,321.348
69262916,463545340,297.95799999999997
69291433,69255302,3805.236999999999
69291433,69628220,2462.474
69292799,69149882,140.88
69292799,69146707,784.144
69292799,7192645517,471.34099999999995
69292799,2511912086,1084.429
69292859,5412061134,28.334
69292859,69292866,188.851
69292859,69149882,409.051
69292866,69292876,219.434
69292866,5412061134,156.39400000000003
69292876,5430636467,1131.6970000000003
69292876,7556153591,1291.6300000000003
69292876,69292866,219.434
69292876,69124550,434.29999999999995
69304657,69349971,409.31300000000005
69304657,69407564,350.238
69304657,69576795,341.65299999999996
69306801,69172899,45.261
69306801,69306830,420.126
69306801,5941482555,62.370999999999995
69306830,5952811158,46.81
69306830,69306831,42.162
69306830,69306801,420.12600000000003
69306831,69306830,42.162
69306831,5952811158,57.831
69306831,5941482563,813.7069999999998
69306883,5941482563,24.426
69306883,5941482559,30.09
69306883,5954332603,26.31
69306883,69487715,5507.800999999998
69310540,69255685,931.029
69310540,661038352,1106.4850000000001
69310540,5428702921,578.084
69310560,661038352,37.844
69310560,661038350,37.748
69310560,1572629607,50.137
69310560,661038351,47.832
69310874,3662509387,1450.22
69310874,69339775,221.14100000000002
69312491,69191561,65.934
69312491,69312483,92.269
69314896,5437715569,232.51699999999997
69316417,69316556,1968.9199999999998
69316417,5947379199,347.035
69316556,69316417,1968.9199999999992
69320144,5430611959,1404.2669999999998
69320144,5437715569,78.486
69324146,7062844551,11.428
69324146,69142135,487.97099999999995
69324206,69324227,586.962
69324206,5253681613,306.999
69324227,69324206,586.962
69324227,4850945628,539.661
69324227,2401559405,593.163
69325505,7138737907,33.544
69326139,69233189,16.436
69326139,5436991924,37.777
69326139,5436991921,38.341
69326265,69167141,328.849
69326265,69515924,87.82799999999999
69326265,5006641311,152.546
69326288,69476287,126.15400000000001
69326288,69476284,135.515
69326288,69245675,298.15999999999997
69326333,69156552,69.397
69326333,69326341,563.287
69326341,4402671305,9.041
69326341,69208060,1316.0830000000005
69331014,5412096079,13.941
69331014,344924544,65.709
69331014,344924939,91.86
69339775,69310874,222.109
69339775,69340214,481.50499999999994
69340013,3661064309,67.709
